lon,lat
110.3152917,-7.090572514
110.4857454,-6.992107001
110.2768122,-7.09128984
110.2813416,-7.090300775
110.4852381,-7.089689342
110.354739,-7.089250726
110.3799594,-7.089679884
110.4841299,-6.989731985
110.525,-7.089930416
110.4852624,-6.990246245
110.4630197,-7.089020527
110.2754646,-7.088533182
110.3436984,-7.088831163
110.490933,-6.989000814
110.482897,-7.0890269
110.2892502,-7.089338575
110.3765877,-7.091256058
110.5080972,-7.087911021
110.3186238,-7.087280159
110.4865571,-6.996010824
110.5329309,-7.088296617
110.2929347,-7.088035992
110.3795494,-7.087145351
110.380969,-7.086642231
110.3551181,-7.08672613
110.3334748,-7.08628026
110.3345377,-7.086006943
110.3377605,-7.085822117
110.311463,-7.087625315
110.3722867,-7.08618299
110.5231337,-7.086743191
110.5321147,-7.085957111
110.4890752,-7.085604789
110.3693837,-7.085323535
110.487004,-7.00330397
110.3727836,-7.084716733
110.3631298,-7.08485266
110.4282094,-7.084720716
110.4763498,-7.084513996
110.3375863,-7.084306294
110.5307039,-7.08479259
110.3700618,-7.084319087
110.519961,-7.084944909
110.4486738,-6.991545981
110.3645906,-7.084481804
110.4630258,-7.084213988
110.3281033,-7.084281082
110.3279639,-7.085096539
110.3193472,-7.083963668
110.3775664,-7.08671166
110.3764507,-7.085231469
110.4121635,-7.088144321
110.4553945,-7.041336969
110.4090175,-7.088298062
110.4119615,-7.085826221
110.4098245,-7.085414986
110.3565503,-7.014708094
110.3520434,-7.015138369
110.4096178,-7.085059993
110.5279655,-7.086030612
110.4680749,-7.085704226
110.3612217,-7.015340089
110.4666057,-7.086611519
110.4687506,-7.087475932
110.3619026,-7.014144151
110.3093863,-7.083656342
110.5361113,-7.083378922
110.4111634,-7.08323554
110.4913277,-6.971993385
110.3629187,-7.019368675
110.3632875,-7.083029259
110.3218856,-7.082762165
110.4087564,-7.035837521
110.5167537,-7.083070436
110.5055477,-7.083779555
110.5014272,-7.084891687
110.3789891,-7.082275262
110.4741255,-7.081855551
110.322612,-7.082033177
110.2749649,-7.082121103
110.389927,-7.008705787
110.4858203,-7.081469482
110.447959,-7.081209031
110.3981473,-7.00791031
110.390592,-7.08157123
110.3989087,-7.007741504
110.4723743,-7.081556245
110.425464,-7.083569091
110.4280957,-7.080684606
110.4657269,-7.081263316
110.4518016,-7.080569195
110.3804096,-7.080425285
110.4358358,-7.065533056
110.3881319,-7.080409199
110.4768896,-7.080355982
110.4459233,-7.080466098
110.4685499,-7.080179474
110.4260731,-7.080237352
110.4245768,-7.079606731
110.4948305,-7.079143785
110.4571865,-7.07863209
110.4801588,-7.079017625
110.3483445,-7.079339251
110.2919184,-7.079703924
110.3315889,-7.0785331
110.427731,-7.077446632
110.4703738,-7.077380274
110.3170951,-7.085863669
110.4655139,-7.076107369
110.4708343,-7.074443804
110.4635505,-7.076998973
110.3890951,-7.077272252
110.4595605,-7.048747281
110.2969978,-7.077078414
110.461356,-7.049935178
110.4449733,-7.076004465
110.3828713,-7.075800133
110.4602682,-7.04776017
110.3827205,-7.075229999
110.4606808,-7.049032003
110.4571814,-7.047607014
110.4773009,-7.075490532
110.4585966,-7.048746162
110.4804236,-7.075063779
110.4577297,-7.045849283
110.5167416,-7.075314179
110.2486832,-7.075348805
110.528576,-7.075889459
110.4779012,-7.074722144
110.4332592,-7.075408473
110.4728625,-7.073391784
110.3844591,-7.073225234
110.3867148,-7.071837929
110.4771425,-7.073076043
110.3995084,-7.072066438
