id,lon,lat,exist
141,110.3791327,-6.988850863,TRUE
142,110.379773,-7.012138635,TRUE
143,110.3799158,-6.992114962,TRUE
144,110.3800108,-6.992495609,TRUE
145,110.3804502,-7.073229475,TRUE
146,110.3810556,-6.993003366,TRUE
147,110.38185,-7.013875902,TRUE
148,110.3819303,-7.025976917,TRUE
149,110.382862,-7.001194525,TRUE
150,110.3832469,-6.990449559,TRUE
151,110.3832722,-6.999453556,TRUE
152,110.3835127,-6.985781184,TRUE
153,110.3838444,-7.016984542,TRUE
154,110.3840965,-6.997557281,TRUE
155,110.3848422,-7.059560616,TRUE
156,110.3860871,-7.015515146,TRUE
157,110.3860897,-7.000198307,TRUE
158,110.386512,-6.993738461,TRUE
159,110.3873534,-6.969593853,TRUE
160,110.3874039,-6.987787139,TRUE
161,110.3874124,-6.999393389,TRUE
162,110.387551,-6.988750718,TRUE
163,110.3879177,-6.991937786,TRUE
164,110.388031,-6.990307584,TRUE
165,110.3883324,-7.08477032,TRUE
166,110.3883974,-6.984055403,TRUE
167,110.3889197,-6.991383286,TRUE
168,110.3894625,-7.001721885,TRUE
169,110.3895065,-7.01309288,TRUE
170,110.3895547,-6.987864036,TRUE
171,110.3896099,-7.002500197,TRUE
172,110.3898479,-7.106005222,TRUE
173,110.3899405,-7.010735445,TRUE
174,110.390201,-7.010332395,TRUE
175,110.390769,-7.012484212,TRUE
176,110.3910204,-6.972859295,TRUE
177,110.3911257,-6.977417003,TRUE
178,110.3911627,-7.010073511,TRUE
179,110.3913461,-6.979047639,TRUE
180,110.3913821,-6.979936967,TRUE
181,110.3917995,-7.034890528,TRUE
182,110.3918964,-6.98371708,TRUE
183,110.3920064,-6.984680611,TRUE
184,110.3928558,-7.009485405,TRUE
185,110.3930688,-6.96596999,TRUE
186,110.3932084,-6.972788004,TRUE
187,110.3934331,-7.024292714,TRUE
188,110.3936536,-7.001430878,TRUE
189,110.393669,-6.989499697,TRUE
190,110.3942054,-6.976124095,TRUE
191,110.3942093,-7.001876235,TRUE
192,110.3942784,-6.976976418,TRUE
193,110.3943301,-6.965601072,TRUE
194,110.3946734,-7.014802848,TRUE
195,110.3947713,-6.995880433,TRUE
196,110.3948193,-7.016611522,TRUE
197,110.3948762,-6.973531213,TRUE
198,110.3949289,-6.993810833,TRUE
199,110.3949533,-7.000098629,TRUE
200,110.3952606,-6.991836109,TRUE
201,110.3954472,-6.990947066,TRUE
202,110.3954697,-7.102421535,TRUE
203,110.3955049,-6.974865943,TRUE
204,110.3958147,-6.964639581,TRUE
205,110.3960675,-6.998840243,TRUE
206,110.396199,-7.010630287,TRUE
