"lon","lat"
115.215635,-8.674309804
115.2862232,-8.565305032
115.2078459,-8.674824341
115.2095114,-8.660444207
115.2089797,-8.661261567
115.205757,-8.661755155
115.2052483,-8.661459092
115.2245597,-8.675564157
115.2339086,-8.658582497
115.2201027,-8.684862827
115.1763287,-8.724762903
115.2302264,-8.639654736
115.2132568,-8.672858182
115.230039,-8.640162271
115.3041866,-8.564770758
115.2189672,-8.569429867
115.2448004,-8.616944291
115.2215574,-8.631848679
115.2191983,-8.6618492
115.2217026,-8.661172241
115.2089363,-8.659070386
115.2204461,-8.753932753
115.2158214,-8.714197863
115.2839916,-8.632670346
115.2169135,-8.675248325
115.225305,-8.674378938
115.2215807,-8.763485836
115.179497,-8.782205446
115.3255309,-8.54169016
115.1990422,-8.629933166
115.2193257,-8.680217319
115.1610479,-8.799149458
115.2294594,-8.657626699
115.2835994,-8.624183649
115.2203367,-8.668614496
115.2837972,-8.60990719
115.2203639,-8.658580487
115.2150926,-8.698132424
115.274256,-8.567037345
115.3212209,-8.539902376
115.2094882,-8.6937718
115.1763891,-8.712828
115.2569954,-8.679343395
115.234203,-8.665347584
115.2378117,-8.689064865
115.244095,-8.675077062
115.1839335,-8.706270308
115.2130072,-8.645214227
115.2365159,-8.664683715
115.1859282,-8.696259333
115.2378719,-8.651718032
115.224223,-8.652992292
115.2197545,-8.68090433
115.2434642,-8.686170584
115.2203684,-8.68484329
115.2361447,-8.657166997
115.2244642,-8.67586369
115.224532,-8.675403264
115.2295511,-8.651707225
115.2064242,-8.642191935
115.2276155,-8.697944418
115.2294632,-8.657588163
115.2269792,-8.691550212
115.2157403,-8.641134882
115.2090513,-8.661223585
115.1866288,-8.652987775
115.2002374,-8.689912001
115.2057227,-8.657174952
115.241157,-8.622201686
115.2155239,-8.684174054
115.2344698,-8.650235146
115.1998118,-8.715324244
115.2054223,-8.660411019
115.2054595,-8.67646228
115.1894488,-8.708920623
115.2029046,-8.682791948
115.2044503,-8.666328354
115.2124768,-8.662046836
115.2222457,-8.654976762
115.1789102,-8.681046549
115.2043478,-8.652186908
115.1941078,-8.664476086
115.2169906,-8.64983514
115.2076249,-8.672779906
115.2064045,-8.687883399
115.1960798,-8.682427406
115.2448529,-8.616857119
115.2350704,-8.72482694
115.2278189,-8.652587625
115.2271193,-8.653192008
115.2062113,-8.67319892
115.2042621,-8.651937065
115.1949989,-8.680111184
115.1970638,-8.660687922
115.1967787,-8.667022545
115.2043398,-8.652698849
115.1800467,-8.679947407
115.2095272,-8.660450259
115.2193194,-8.680155164
115.1975303,-8.719056904
115.2335998,-8.600057779
115.2353131,-8.724159501
115.1960648,-8.663959625
115.2279614,-8.618023043
115.2085334,-8.653160424
115.1816365,-8.657402642
115.1797303,-8.679297814
115.1915968,-8.693977893
115.1970987,-8.688592035
115.2269452,-8.597671638
115.2075787,-8.651997463
115.1851619,-8.6501605
115.1981812,-8.69437018
115.2043478,-8.652572381
115.240519,-8.648213864
115.2690937,-8.64672801
115.213384,-8.613113774
115.248509,-8.6810459
115.2298543,-8.633661822
115.2026248,-8.632367497
115.248658,-8.647192481
115.2561346,-8.6860059
115.206363,-8.619891675
115.2414113,-8.645834403
115.2402716,-8.673683469
115.1863619,-8.641418361
115.2078817,-8.604709369
115.2112002,-8.646678667
115.2569146,-8.672851842
115.2392384,-8.707262602
115.2270852,-8.708973792
115.2205116,-8.656660173
115.1921035,-8.644032587
115.2064159,-8.647872303
115.235746,-8.702545554
115.2610169,-8.637547358
115.2111068,-8.635869488
115.2237846,-8.641736291
115.2231017,-8.644464697
115.239133,-8.645389444
115.1864073,-8.63032585
115.226594,-8.686450616
115.2216676,-8.610894535
115.2552537,-8.674212894
115.2193709,-8.70407297
115.2303782,-8.639608506
115.1974533,-8.616210464
115.2150627,-8.64325712
115.2133514,-8.639045931
115.2076728,-8.641365905
115.2240523,-8.666475449
115.2125369,-8.6169547
115.2120818,-8.618167747
115.2507529,-8.683678059
115.2045639,-8.624531615
115.214892,-8.637726304
115.2298078,-8.687996487
115.251075,-8.621386416
115.2324581,-8.70203623
115.2218656,-8.62456848
115.2045163,-8.624150901
115.2472469,-8.648019938
115.229906,-8.690234369
115.2121554,-8.634434317
115.2427836,-8.633657902
115.2536647,-8.682744254
115.2083283,-8.633354041
115.2417504,-8.643366902
115.2133502,-8.599695369
115.2543,-8.676815218
115.2209854,-8.698446009
115.2636973,-8.642813105
115.2099458,-8.694868489
115.220718,-8.690224376
115.1837825,-8.6202085
115.2156751,-8.606036945
115.2551524,-8.683894724
115.2564857,-8.697698423
115.2348704,-8.703181346
115.2167169,-8.670996953
115.2262056,-8.653030205
115.2489066,-8.64322354
115.179386,-8.627894212
115.2536361,-8.68989513
115.1850389,-8.625009777
115.252051,-8.699313482
115.2527896,-8.708192734
115.198522,-8.620403822
115.1955915,-8.660432129
115.2186275,-8.683339338
115.2341818,-8.646659469
115.1858962,-8.712283324
115.2299356,-8.637421782
115.2394221,-8.670879512
115.2050921,-8.709129555
115.2585255,-8.650976605
115.2003051,-8.631939719
115.2288707,-8.65795222
