"lon","lat"
115.3215868713,-8.5369572017
115.1849512564,-8.7151025693
115.1858361246,-8.6758083678
115.2343330262,-8.6499387182
115.1742914026,-8.790240676
115.1716720396,-8.7835156918
115.1790251541,-8.7322363125
115.2143814772,-8.5668100513
115.2138163249,-8.6706145349
115.2564150433,-8.5236376831
115.2401482832,-8.6640486825
115.217720777,-8.7043316693
115.1844730853,-8.721509485
115.2324396212,-8.6736396369
115.2172359,-8.8044116
115.1190891,-8.5395546
115.2575308,-8.6148576
115.3949388,-8.5387815
115.3134789,-8.6053647
115.1319843,-8.5390085
115.1758366,-8.7602199
115.2725857,-8.5505479
115.2283739,-8.7991914
115.1712761,-8.6280229
115.2116396,-8.675601312
115.2124248,-8.677676202
115.2124069,-8.678147335
115.212489,-8.678582776
115.2131769,-8.650847601
115.2132054,-8.650533511
115.2053435,-8.677628217
115.1909297,-8.656875351
115.2178818,-8.670678104
115.218694,-8.663391749
115.2234973,-8.652311766
115.2263679,-8.649456255
115.2206116,-8.662535062
115.220169,-8.663555851
115.1993073,-8.622794586
115.2209769,-8.637054701
115.2165695,-8.638885102
115.2519305,-8.641846454
115.2510965,-8.635825823
115.212824,-8.648267551
115.2107906,-8.644233057
115.209769,-8.643988091
115.2243033,-8.646056557
115.1909297,-8.656875351
115.2279279,-8.668380911
