"lon","lat"
115.2183024,-8.677066854
115.2392384,-8.665490803
115.2949475,-8.56673858
115.2210793,-8.676943654
115.1898267,-8.636125263
115.1726731,-8.741773669
115.2261252,-8.634123754
115.223502,-8.63704886
115.2170557,-8.671095035
115.225305,-8.674378938
115.1306806,-8.526691391
115.2267868,-8.677046605
115.2221895,-8.761346035
115.2019194,-8.791896175
115.1971755,-8.785911913
115.203109,-8.7862766
115.1721523,-8.6840295
115.2569954,-8.679343395
115.2378117,-8.689064865
115.1839335,-8.706270308
115.1850389,-8.625009777
115.198522,-8.620403822
115.2287006,-8.704512337
115.2254365,-8.653801309
115.231507,-8.65057936
115.1992452,-8.664275299
115.1990923,-8.665092049
115.2247838,-8.651428411
115.2498518,-8.67915974
115.2232384,-8.598405767
115.2206125,-8.676450346
115.1998865,-8.665496558
115.2294762,-8.645486823
115.2249011,-8.652320094
115.2199905,-8.661578518
115.2268615,-8.708949998
115.2145577,-8.600140394
115.2262675,-8.654281801
115.1907679,-8.628035195
115.2406797,-8.650209454
115.208116,-8.637885467
115.2285959,-8.70328739
115.2531617,-8.700189179
115.2333036,-8.658337693
115.2265426,-8.646870757
115.1961779,-8.663837676
115.2340389,-8.658801687
115.1865896,-8.647350915
115.2288195,-8.644885295
115.2340688,-8.645543502
115.208552,-8.632541218
115.2236525,-8.655939195
115.2337717,-8.683376287
115.1963884,-8.688235115
115.2750893,-8.643975449
115.2141259,-8.636237589
115.2509958,-8.64644295
