lon,lat
115.19401,-8.649828625
115.203218,-8.706416678
115.1934113,-8.652345645
115.2596155,-8.660840499
115.2431595,-8.657183848
115.2028461,-8.645266656
115.2335217,-8.710075664
115.2233362,-8.657398479
115.2335957,-8.709223923
115.2439473,-8.725996426
115.2399557,-8.707958883
115.1844939,-8.652220211
115.2120456,-8.739358953
115.2339901,-8.711627959
115.2270518,-8.682554873
115.2561232,-8.646862545
115.1797879,-8.655328576
115.2082908,-8.717669878
115.2305468,-8.660590465
115.2353852,-8.725912571
115.1940708,-8.671918702
115.1945353,-8.649813247
115.2115533,-8.740637166
115.2335911,-8.739137615
115.2333909,-8.737452304
115.1825894,-8.632109891
115.1918332,-8.671751142
115.2139017,-8.704818181
115.2397166,-8.701790874
115.1885661,-8.716482896
115.2315851,-8.659692586
115.1840215,-8.701547994
115.2317558,-8.728101379
115.252382,-8.653990693
115.2341811,-8.72813325
115.2355728,-8.730469299
115.1828594,-8.619029033
115.191543,-8.631665872
115.2709483,-8.640258928
115.2739495,-8.64643283
115.1862984,-8.717495915
115.1786776,-8.684697069
115.1907396,-8.630601406
115.1949893,-8.677309244
115.2496938,-8.679519351
115.1899514,-8.680896598
115.2545972,-8.693355693
115.2432814,-8.685695212
115.1931355,-8.662037165
115.2419426,-8.706740863
115.2584951,-8.650163839
115.1898704,-8.661033166
115.2109696,-8.739268861
115.2238654,-8.671218461
115.2499744,-8.709976241
115.1960124,-8.695593402
115.1956484,-8.695527412
115.1983233,-8.6875213
115.232387,-8.630716455
115.1986357,-8.687336128
115.2383032,-8.723547822
115.2339421,-8.672070986
115.2124647,-8.65648591
115.2427826,-8.611983658
115.2418633,-8.694687651
115.237671,-8.673161471
115.2123249,-8.656944456
115.2376224,-8.632882711
115.2133071,-8.717667491
115.2417277,-8.690859424
115.236461,-8.673119424
115.2473772,-8.701910332
115.2357587,-8.673086335
115.2358177,-8.671679821
115.2340014,-8.670142495
115.2294523,-8.678491864
115.2176916,-8.657111638
115.2642544,-8.699325388
115.2620378,-8.700591561
115.2496438,-8.657378766
115.2430547,-8.686363528
115.2331004,-8.703017728
115.2565329,-8.647568346
115.2408916,-8.672480382
115.1872449,-8.7181358
115.197049,-8.691516739
115.1974109,-8.691586559
115.2482793,-8.654575642
115.1918694,-8.708553959
115.1960349,-8.625051317
115.196165,-8.624624992
115.2634962,-8.704381182
115.2397352,-8.708653593
115.2505238,-8.703748875
115.2114943,-8.739940263
115.2661432,-8.695314107
115.2500762,-8.637975305
115.226463,-8.682395397
115.249976,-8.637456053
115.2198926,-8.645971166
115.2258617,-8.686693379
115.2135507,-8.723118311
115.249941,-8.636977935
115.2331233,-8.666164661
115.1874594,-8.622143299
115.2256783,-8.686299044
115.1831706,-8.68597874
115.2289139,-8.668397931
115.218841,-8.656562905
115.2131344,-8.703910473
115.2118873,-8.646519355
115.243612,-8.729318191
115.1860169,-8.648473354
115.1803204,-8.814606124
115.2131499,-8.63606125
115.1810076,-8.813701223
115.2351676,-8.630552458
115.2441195,-8.667350613
115.2325313,-8.680924475
115.2512658,-8.700503024
115.1412836,-8.795531258
115.2127107,-8.734601723
115.2203024,-8.644855997
115.1376076,-8.790648729
115.2275899,-8.727367143
115.1512327,-8.833489933
115.2365723,-8.728718634
115.1568742,-8.832922134
115.1549339,-8.807234056
115.2328409,-8.68749469
115.2246839,-8.657705046
115.2013063,-8.656275041
115.2011811,-8.655995711
115.241571,-8.73968966
115.2570041,-8.689914835
115.229446,-8.728606256
115.1975202,-8.721079681
115.2257718,-8.72563057
115.2301338,-8.687432619
115.2298915,-8.669935852
115.2477449,-8.643834784
115.1766636,-8.681941047
115.1916342,-8.712372121
115.1780667,-8.674181415
115.2318651,-8.678081672
115.2222536,-8.683692175
115.2369123,-8.664151772
115.1780705,-8.671796054
115.2152837,-8.692557206
115.2533394,-8.656737016
115.2568413,-8.673621915
115.2161848,-8.665072295
115.2525871,-8.651745142
115.1756422,-8.679540513
115.2313251,-8.675950274
115.2436569,-8.672730282
115.205618,-8.696987492
115.2496385,-8.711334004
115.1916238,-8.656405889
115.2071059,-8.696732647
115.2456393,-8.703142602
115.1938642,-8.69459948
115.1907485,-8.673225238
115.2612072,-8.659408165
115.1890808,-8.682783033
115.2148742,-8.722394474
115.1941328,-8.722365255
115.1841151,-8.651887755
115.2590982,-8.653481269
115.1692869,-8.83513777
115.1953715,-8.723896087
115.2768096,-8.646637336
115.1874282,-8.715990358
115.2613037,-8.693969014
115.1828761,-8.702247902
115.2157266,-8.687587572
115.1772043,-8.674138879
115.1897765,-8.673014811
115.2650559,-8.658502445
115.2649248,-8.658312806
115.2038556,-8.653546808
115.2638072,-8.658339611
115.2454451,-8.643853833
115.2624075,-8.698383184
115.2667221,-8.64204756
115.2569083,-8.655066809
115.2214704,-8.648426617
115.2576222,-8.654477566
115.2362801,-8.728759152
115.2281218,-8.682457786
115.2466091,-8.643324334
115.1472803,-8.787115706
115.1738309,-8.793803314
115.1731195,-8.793680768
115.172955,-8.793322854
115.1746792,-8.814512885
115.1445541,-8.783961456
115.1421218,-8.786999116
115.175465,-8.790382541
115.1744069,-8.789368502
115.1735652,-8.79040814
115.1468259,-8.669135353
115.1465847,-8.668992211
115.1682145,-8.665086991
115.167791,-8.66394013
115.1683982,-8.663477173
115.1393781,-8.791427759
115.1394029,-8.793236101
115.1736816,-8.806352905
115.1728168,-8.806992691
115.1730228,-8.806235026
115.2138277,-8.807138989
115.2148309,-8.806086683
115.1393409,-8.811883073
115.1768376,-8.817854238
115.1759768,-8.818063754
115.1755772,-8.819497656
115.1750713,-8.819617387
115.1764479,-8.817322117
115.1843612,-8.821608171
115.184969,-8.821614243
115.1776542,-8.821311123
115.1773986,-8.821790633
115.1772577,-8.822602019
115.1812077,-8.823072417
115.1827696,-8.835406037
115.1813379,-8.83542162
115.1627483,-8.834004039
115.1408683,-8.827896236
115.1474793,-8.830201486
115.1480829,-8.83205754
115.1634448,-8.834986693
115.1779026,-8.834151567
115.280363,-8.535974644
115.1959642,-8.561215525
115.2079965,-8.562279312
115.2080761,-8.563127487
115.207526,-8.561680671
115.2101232,-8.570737527
115.2095186,-8.57021837
115.2089508,-8.568512147
115.2103338,-8.567344405
115.2105383,-8.567212402
115.2108995,-8.567479445
115.2106262,-8.568775057
115.2100587,-8.570010927
115.2151536,-8.568965408
115.2163113,-8.569019677
115.2168379,-8.568709782
115.2151963,-8.569231178
115.205567,-8.568495681
115.207226,-8.568958568
115.2116761,-8.57435061
115.2114047,-8.574812803
115.2104308,-8.574503322
115.2101781,-8.575158165
115.2113091,-8.578413898
115.2122322,-8.578266461
115.2132508,-8.577585823
115.3053589,-8.572970002
115.2076807,-8.575980459
115.2111871,-8.582185234
115.3372127,-8.593499294
115.319905,-8.595905271
115.3221197,-8.594952844
115.1404154,-8.610106351
115.1681255,-8.610030817
115.1294113,-8.619125317
115.143761,-8.623454666
115.1482168,-8.62360805
115.1353552,-8.62595061
115.1368544,-8.625830896
115.135901,-8.639669499
115.1367008,-8.640170381
115.1359254,-8.64062651
115.1321958,-8.642618645
115.1333735,-8.642985263
115.132898,-8.643543474
115.1228955,-8.65043338
115.1217578,-8.650368286
115.1225835,-8.648887304
115.1418946,-8.644940665
115.1413304,-8.644540189
115.1377949,-8.653763025
115.1383476,-8.652212988
115.1398988,-8.65104169
115.139396,-8.651918517
115.1305314,-8.652814049
115.1311605,-8.652977148
115.1306145,-8.652130188
115.1363751,-8.66159118
115.1379135,-8.661770327
115.1396612,-8.661026676
115.1397888,-8.663544295
115.1474257,-8.666244687
115.1472673,-8.665670355
115.1479651,-8.665361127
115.1478404,-8.665856192
115.1793762,-8.698558398
115.3336717,-8.60023765
115.3351065,-8.600537619
115.3375328,-8.596826158
115.3442164,-8.592143067
115.3465982,-8.593957324
115.3447615,-8.594856082
115.344876,-8.590612801
115.3459058,-8.593101451
115.2076761,-8.708241829
115.1866915,-8.706154587
115.2066932,-8.705961599
115.2340975,-8.69888259
115.2348792,-8.6988454
115.2396395,-8.695983776
115.2074219,-8.694813981
115.2346592,-8.691718559
115.2395989,-8.689897739
115.2369566,-8.690452597
115.2319945,-8.689626346
115.2319857,-8.689312834
115.2349388,-8.688414774
115.2363498,-8.688413606
115.1927445,-8.678552538
115.1930167,-8.677679477
115.1764794,-8.676426329
115.1773218,-8.676469905
115.2211179,-8.671563322
115.1973927,-8.670596046
115.2024428,-8.667970164
115.2019816,-8.667798629
115.2026386,-8.667357707
115.2010966,-8.667376055
115.2011622,-8.666933699
115.2021551,-8.667207969
115.2016342,-8.667095429
115.1958152,-8.663396499
115.1958361,-8.663188891
115.1965821,-8.66318014
115.1965853,-8.663392776
115.2309044,-8.663275036
115.1958258,-8.662980287
115.1965615,-8.662967832
115.241783,-8.660531393
115.2011874,-8.658604613
115.2014878,-8.658625703
115.2018097,-8.658615607
115.2153702,-8.646405813
115.2171316,-8.641891961
115.2195665,-8.628270953
115.2201525,-8.627958045
115.2124063,-8.626711544
115.2313467,-8.626385864
115.2551235,-8.622949794
115.2548216,-8.623199165
115.2292546,-8.616879962
115.2289365,-8.615955422
115.1908148,-8.714819727
115.1947005,-8.709854237
115.1955584,-8.704568519
115.194934,-8.702489868
115.1928695,-8.709939467
115.191458,-8.71034522
115.195189,-8.712045332
115.1946652,-8.713603833
115.1948136,-8.712939684
115.205468,-8.715219067
115.2424101,-8.699146883
115.2453105,-8.70008803
115.2465627,-8.698002723
115.2431217,-8.694404768
115.2429802,-8.692970758
115.2432603,-8.691966854
115.2426767,-8.691359543
115.2439487,-8.690437177
115.237529,-8.698306174
115.2376059,-8.696303924
115.2368272,-8.695036555
115.2346354,-8.694883027
115.1996615,-8.705097749
115.2015164,-8.699547967
115.1992034,-8.700805888
115.2002933,-8.70103814
115.198786,-8.700980172
115.2024478,-8.696609853
115.2041134,-8.692436717
115.2042346,-8.692896703
115.2042639,-8.693324028
115.2040244,-8.694897337
115.2040887,-8.695974877
115.2078617,-8.698130902
115.207001,-8.697140589
115.2061904,-8.703719436
115.2076426,-8.696589331
115.2067484,-8.694101952
115.1917545,-8.696424847
115.187393,-8.706981144
115.1890126,-8.689730825
115.175341,-8.686240466
115.1761306,-8.685015242
115.1769651,-8.679265346
115.1889976,-8.679186639
115.1902784,-8.670194139
115.2183949,-8.71490473
115.1934122,-8.725452186
115.1924711,-8.722655541
115.191752,-8.716082035
115.1887641,-8.700496653
115.1815206,-8.69869782
115.1929862,-8.700281097
115.1910365,-8.705552765
115.1907429,-8.706987741
115.190144,-8.709075935
